column,scaled,correct
RainToday,1,67.30000000000001
RainToday,0,67.30000000000001
phi,1,67.2
phi,0,63.4
Pressure9am,1,61.6
WindGustSpeed,1,60.6
rho,1,59.8
Temp3pm,1,58.699999999999996
WindDir3pm,1,58.5
AllColumns,1,57.3
AllColumns,0,56.8
WindSpeed3pm,1,56.00000000000001
Temp9am,1,55.300000000000004
WindGustDir,1,54.800000000000004
Rainfall,1,53.2
WindDir9am,1,51.800000000000004
Humidity3pm,0,50.2
Temp3pm,0,50.2
Temp9am,0,50.2
Pressure9am,0,50.2
Humidity9am,0,50.2
WindDir3pm,0,50.2
WindGustDir,0,50.2
WindSpeed9am,0,50.2
rho,0,49.8
MaxTemp,0,49.8
Pressure3pm,0,49.8
WindSpeed3pm,0,49.8
Rainfall,0,49.8
MinTemp,0,49.8
WindDir9am,0,49.8
WindGustSpeed,0,49.8
MinTemp,1,47.8
WindSpeed9am,1,46.400000000000006
MaxTemp,1,42.6
Pressure3pm,1,37.9
Humidity9am,1,37.9
Humidity3pm,1,28.599999999999998
