features,scaled,rand,sse,sil,fm,clusters
MinTemp,1,0.5002631578947369,129.62709392050252,0.0012191576894262915,0.5014453483148892,2
MinTemp,0,0.5002631578947369,5013.01048903794,0.0012191576894262915,0.5014453483148892,2
MaxTemp,1,0.505375939849624,136.5372400623519,0.02097464061457594,0.519442545433307,2
MaxTemp,0,0.505375939849624,6962.862987814149,0.02097464061457594,0.519442545433307,2
Rainfall,1,0.5,131.27596124115405,0.00022493734335846975,0.7035712695444014,2
Rainfall,0,0.5,27198.73154608382,0.00022493734335846975,0.7035712695444014,2
WindGustDir,1,0.4987593984962406,115.34210278687921,-0.005121910094736164,0.5085930533985136,2
WindGustDir,0,0.4987593984962406,1210952.2012564798,-0.005121910094736164,0.5085930533985136,2
WindGustSpeed,1,0.5059649122807017,157.136836233236,0.029575731816636287,0.5778944182271357,2
WindGustSpeed,0,0.5059649122807017,29792.69284879922,0.029575731816636287,0.5778944182271357,2
WindDir9am,1,0.49954887218045113,126.4270673751069,-0.0014712402208722287,0.521036355589088,2
WindDir9am,0,0.49954887218045113,1298200.9417278883,-0.0014712402208722287,0.521036355589088,2
WindDir3pm,1,0.5015664160401002,98.63039912347075,0.006143958334434558,0.5014477273347933,2
WindDir3pm,0,0.5015664160401002,1111046.2748346268,0.006143958334434558,0.5014477273347933,2
WindSpeed9am,1,0.5,141.26106789825027,0.00015065549108103857,0.5229327362257419,2
WindSpeed9am,0,0.5,11378.642169796454,0.00015065549108103857,0.5229327362257419,2
WindSpeed3pm,1,0.4993609022556391,146.98159998472605,-0.0027186819440339766,0.5261760829085094,2
WindSpeed3pm,0,0.4993609022556391,12821.75829182661,-0.0027186819440339766,0.5261760829085094,2
Humidity9am,1,0.5276190476190477,138.35798802184695,0.09016787221811615,0.5278794449153527,2
Humidity9am,0,0.5276190476190477,40427.27012042726,0.09016787221811615,0.5278794449153527,2
Humidity3pm,1,0.5935964912280701,129.4935490101811,0.2617600629162673,0.5931329060760752,2
Humidity3pm,0,0.5935964912280701,64904.70811868718,0.2617600629162673,0.5931329060760752,2
Pressure9am,1,0.5140977443609023,151.5607599730588,0.05053473553450469,0.5267834457355605,2
Pressure9am,0,0.5140977443609023,6949.899449303934,0.05053473553450469,0.5267834457355605,2
Pressure3pm,1,0.5092857142857142,157.60308856697878,0.03436727742541699,0.5220937614224327,2
Pressure3pm,0,0.5092857142857142,7233.646095829642,0.03436727742541699,0.5220937614224327,2
Temp9am,1,0.5123934837092732,126.74917449828871,0.04317606565581644,0.5122773737982552,2
Temp9am,0,0.5123934837092732,4589.854681357197,0.04317606565581644,0.5122773737982552,2
Temp3pm,1,0.5230075187969925,145.69743177901154,0.07817553207920183,0.5301086621790018,2
Temp3pm,0,0.5230075187969925,6964.111898354398,0.07817553207920183,0.5301086621790018,2
RainToday,1,0.5789473684210527,6.5512432988276215e-28,0.24431896409749673,0.6098040248179332,2
RainToday,0,0.5789473684210527,1.5210224328792634e-29,0.24431896409749673,0.6098040248179332,2
phi,1,0.5533333333333333,210.18291452759186,0.19613360408205774,0.6192507397132881,2
phi,0,0.5533333333333333,269.97602539136795,0.19613360408205774,0.6192507397132881,2
rho,1,0.5366541353383458,58.55128527789685,0.16511736770691995,0.636037022018831,2
rho,0,0.5366541353383458,2413.225512625852,0.16511736770691995,0.636037022018831,2
all,1,0.5230075187969925,6366.256202222721,0.07614789628569155,0.5224094450878771,2
all,0,0.4991979949874687,8339228.951917042,-0.0030095154442980132,0.49947405009073426,2
MinTemp,1,0.4995864661654135,66.10132899940913,-0.0007261340369119483,0.41737813249700617,3
MinTemp,0,0.4995864661654135,2556.307061983552,-0.0007261340369119483,0.41737813249700617,3
MaxTemp,1,0.5117418546365915,68.03298286053653,0.037055479567656244,0.4290439152523948,3
MaxTemp,0,0.5117418546365915,3469.4149236786952,0.037055479567656244,0.4290439152523948,3
Rainfall,1,0.5085714285714286,33.444884503054645,0.08808562799955297,0.6721575932237875,3
Rainfall,0,0.5085714285714286,6929.360307766618,0.08808562799955297,0.6721575932237875,3
WindGustDir,1,0.4992105263157895,39.56902802402301,-0.001374815643703556,0.4078425171687266,3
WindGustDir,0,0.4992105263157895,415426.8079870725,-0.001374815643703556,0.4078425171687266,3
WindGustSpeed,1,0.5052255639097745,75.3098868621826,0.021486141470273393,0.458669699057634,3
WindGustSpeed,0,0.5052255639097745,14278.538257143962,0.021486141470273393,0.458669699057634,3
WindDir9am,1,0.4987092731829574,39.93258438119581,-0.0033047996511689904,0.4171554464753644,3
WindDir9am,0,0.4987092731829574,410042.87867792475,-0.0033047996511689904,0.4171554464753644,3
WindDir3pm,1,0.4984586466165414,37.24844633666246,-0.00427595841351899,0.4071538119694058,3
WindDir3pm,0,0.4984586466165414,419594.2418718057,-0.00427595841351899,0.4071538119694058,3
WindSpeed9am,1,0.4998496240601504,79.28499206622189,-0.0025143303532779637,0.4247069238485485,3
WindSpeed9am,0,0.4998496240601504,6386.441555195579,-0.0025143303532779637,0.4247069238485485,3
WindSpeed3pm,1,0.49933583959899747,74.21553875816629,-0.0024239390718154372,0.45515072751653485,3
WindSpeed3pm,0,0.49933583959899747,6474.1008367971435,-0.0024239390718154372,0.45515072751653485,3
Humidity9am,1,0.5293107769423558,66.93062672641611,0.047804904512014856,0.46341745790469696,3
Humidity9am,0,0.5293107769423558,19556.677317185746,0.047804904512014856,0.46341745790469696,3
Humidity3pm,1,0.5685338345864661,53.026016040373165,0.10600400852648752,0.4970499726389142,3
Humidity3pm,0,0.5685338345864661,26577.679892970213,0.10600400852648752,0.4970499726389142,3
Pressure9am,1,0.5133709273182957,75.10308691183495,0.015146527569158783,0.45984804679123986,3
Pressure9am,0,0.5133709273182957,3443.892089630388,0.015146527569158783,0.45984804679123986,3
Pressure3pm,1,0.5077568922305764,77.21025323976342,0.028533491750166257,0.4511143914984425,3
Pressure3pm,0,0.5077568922305764,3543.786178203444,0.028533491750166257,0.4511143914984425,3
Temp9am,1,0.5014160401002506,70.7934911445207,-0.0006662414618851622,0.4185805195864284,3
Temp9am,0,0.5014160401002506,2563.581483078492,-0.0006662414618851622,0.4185805195864284,3
Temp3pm,1,0.518095238095238,70.56789576359807,0.023942916909046322,0.44550534752276194,3
Temp3pm,0,0.518095238095238,3373.0362747540285,0.023942916909046322,0.44550534752276194,3
RainToday,1,0.5789473684210527,1.6790411329563473e-28,0.24431896409749673,0.6098040248179332,3
RainToday,0,0.5789473684210527,1.370645822821508e-29,0.24431896409749673,0.6098040248179332,3
phi,1,0.5943233082706767,73.24668028966542,0.30773629846307854,0.612519460456027,3
