n_samples,correct
100,51
200,57
300,48.66666667
400,47.75
500,51
600,70.16666667
700,52.85714286
800,43.75
900,54.33333333
1000,58.2
1100,46.09090909
1200,57.16666667
1300,52.92307692
1400,60.64285714
1500,60.46666667
1600,57.1875
1700,54.47058824
1800,45.38888889
1900,57.73684211
2000,39
2100,60.76190476
2200,50.54545455
2300,57.56521739
2400,58.33333333
2500,64.4
2600,56.69230769
2700,55.55555556
2800,54.67857143
2900,50.10344828
3000,69.46666667
3100,58.25806452
3200,60.96875
3300,36.12121212
3400,60.79411765
3500,52.42857143
3600,55.72222222
3700,50.35135135
3800,48.36842105
3900,46.94871795
4000,51.85
4100,64.51219512
4200,57.9047619
4300,57.37209302
4400,48.61363636
4500,41.44444444
4600,54.89130435
4700,43.72340426
4800,47.60416667
4900,58.85714286
