column,scaled,correct
Humidity3pm,1,71.7
Rainfall,1,67.9
RainToday,0,67.3
RainToday,1,67.3
Humidity9am,1,61.1
Pressure9am,1,59.2
WindGustSpeed,1,59.2
rho,1,57.6
Temp3pm,1,57.4
MaxTemp,1,56.8
Pressure3pm,1,55.7
WindSpeed3pm,1,55.5
Temp9am,1,55.1
WindSpeed9am,1,53.9
phi,1,53.1
WindGustDir,1,50.5
WindDir9am,1,50.4
Pressure9am,0,50.2
MaxTemp,0,50.2
Temp3pm,0,50.2
Temp9am,0,50.2
Pressure3pm,0,50.2
phi,0,49.8
rho,0,49.8
Humidity3pm,0,49.8
Humidity9am,0,49.8
MinTemp,0,49.8
WindSpeed3pm,0,49.8
WindSpeed9am,0,49.8
WindDir3pm,0,49.8
WindDir9am,0,49.8
WindGustDir,0,49.8
Rainfall,0,49.8
MinTemp,1,47.7
WindDir3pm,1,40.4
WindGustSpeed,0,38.7
